Do_Number,So_Number,Invoice_Number,Weight,CBM,Location_Code
300229,300229,300229,18.55,0.01134,SHTP-0078
300230,300230,300230,30.3,0.013006,SHTP-0078
300231,300231,300231,10.1,0.013006,SHTP-0078
300232,300232,300232,31.8,0.009653,SHTP-0078
300233,300233,300233,10.1,0.013006,SHTP-0078
300234,300234,300234,68.9,0.009653,SHTP-0078
300235,300235,300235,31.8,0.009653,SHTP-0078
300236,300236,300236,108.68,0.010583,SHTP-0078
300237,300237,300237,27.7,0.016538,SHTP-0078
300238,300238,300238,22.16,0.016538,SHTP-0078
300239,300239,300239,8.31,0.016538,SHTP-0078
300240,300240,300240,118.358,0.007812,SHTP-0078
300241,300241,300241,47.09,0.016538,SHTP-0242
300242,300242,300242,75,0.021528,SHTP-0566
300243,300243,300243,75,0.021528,SHTP-0566
300244,300244,300244,7.95,0.009653,SHTP-0566
300245,300245,300245,2.65,0.009653,SHTP-0566
300246,300246,300246,2.65,0.009653,SHTP-0566
300247,300247,300247,2.65,0.009653,SHTP-0566
300248,300248,300248,2.65,0.01134,SHTP-0566
300249,300249,300249,2.65,0.01134,SHTP-0566
300250,300250,300250,5.05,0.013006,SHTP-0566
300251,300251,300251,5.05,0.013006,SHTP-0657
300252,300252,300252,93.75,0.021528,SHTP-0657
300253,300253,300253,5.3,0.005429,SHTP-0657
300254,300254,300254,2.045,0.016095,SHTP-0657
300255,300255,300255,7.7,0.006503,SHTP-0657
300256,300256,300256,7.7,0.006503,SHTP-0657
300257,300257,300257,15.15,0.013006,SHTP-0657
300258,300258,300258,7.95,0.01134,SHTP-0657
300259,300259,300259,93.75,0.021528,SHTP-0657
300260,300260,300260,5.05,0.013006,SHTP-0657
300261,300261,300261,5.3,0.005429,SHTP-0657
300262,300262,300262,2.045,0.016095,SHTP-0657
300263,300263,300263,2.045,0.016095,SHTP-0657
300264,300264,300264,23.85,0.009653,SHTP-0657
300265,300265,300265,26.5,0.009653,SHTP-0657
300266,300266,300266,23.85,0.009653,SHTP-0657
300267,300267,300267,15.9,0.01134,SHTP-0657
300268,300268,300268,2.045,0.016095,SHTP-0657
300269,300269,300269,23.85,0.009653,SHTP-0657
